TweetsCleaned,Category,Support
statement psychoanalytic activist bipocanalysis collective statement toward liberation palestine,Neutral,1
check different erik karlsson card lot senator ebay via ebay israel gaza hamas asiangames steve cohen klaus schwab tel aviv nebraska palestinian kansa state otev lido smackdown isle hockey nhl mlb nfl nba,Neutral,0
aw okay well thats cool im sure pal appreciate collection,Positive,0
said eylon palestinian life important israeli hostage absolutely abhorrent dare even ask think logically israel get back innocent civilian kidnapped israeli hand convicted criminal,Neutral,1
israel killed son lebanese mp mohammad raad head loyalty bloc lebanese resistance hezbollah video raad mourning son compare calm word calling better world expressing strength dark vengeful murderous rhetoric hear israeli official steadfast path want honor dignity people nation world sub xpmov,Positive,1
oh msm reported israeli bombed hospital retraction okay tell alie israel terrorist,Negative,-1
thought tunnel connected command control make trap cable ac id connected,Neutral,-1
let smile deceive baby killer active participant genocide gaza tonight reported source israel national news idf staff sergeant eitan dov rosenzweig givati brigade shaked battalion laid rest gazans may memory reminder illegal occupation consequence may plant seed peace humanity genocidal israel,Neutral,1
hamas founder mahmoud al zahar word u palestine like toothpick cleaning teeth much bigger plan point globe laughing say palestine exist map,Positive,1
unlike israel malaysia singapore example two state solution actually work gave sovereign state also dont bomb every,Positive,-1
average israel supporter guy even see dm whole story anti semitic demon must banned twitter,Neutral,-1
know hamas took prisoner october including civilian know israel took child woman age released tomorrow ask question understand october attack,Negative,1
figured get white people board say free palestine like sweet caroline,Positive,0
bad deal israel,Negative,-1
hey bbcnews rest remember last week printed endless story given head shifa hospital would scream spreading hamas propaganda ignored u well israel arrested hamas comment,Negative,1
breaking china slap genocidal israel longer respect anything un assembly,Positive,0
malcolm x give perfect description ultimate victory liberation movement including palestine look like,Positive,0
changed calendar guy,Neutral,0
cobratate address palestine israel conflict,Neutral,0
tragedy know think israel still,Negative,1
people marching palestine green progressive need lead people,Neutral,1
oh yeah dw hurt feeling right saying bullshit,Negative,0
israel break ceasefire sorry invade country slaughter thousand civilian complain consequence war single innocent palestinian would died hamas use human shield,Negative,1
literally say posted israeli would able see palestinian human being got arrested,Neutral,1
went israel figured palestinian live gaza better,Neutral,-1
freepalestine israel warcrimes,Neutral,1
list palestinian village depopulated razed ground renamed around gazastrip column screenshots includes israel village built p check case huj even wikipedia enough,Neutral,0
yes israel terrorist organization nt use civilian facility military purpose,Neutral,1
zionist conflating israel judaism one subtle dirty move made far,Neutral,1
israel stole bomb killed jfk ryandawsonfilm numec,Negative,1
bana merhameti öğret filistin diğer mazlum coğrafyalardaki öğretmen öğrencilerle empati şarkımız teach mercy song empathy teacher student palestine oppressed land sung full version,Neutral,1
breaking gaza health ministry say stop coordinating hospital evacuation israel arrested al shifa director follow live update,Negative,0
march israel begin construction west bank barrier wall separate israel palestinian territory,Neutral,0
